app-feature-callout	brutalist
appointment-booking	brutalist,dark,glass,minimal,neo
bar-chart-reveal	brutalist,dark,default,glass
before-after	dark,glass,minimal
bento-grid	brutalist
changelog	brutalist,dark,glass,neo
concept-breakdown	brutalist,dark
countdown-timer	dark,default,glass
day-summary	default,rounded
feature-showcase	brutalist
modal-explainer	default
patient-journey	dark,default,glass
payment-flow	default
portfolio-breakdown	default
product-reveal	rounded
screen-showcase	default,minimal
social-post	default
staggered-words	brutalist,dark
step-explainer	glass
typewriter-reveal	dark,default
